日期,最高温,最低温,降雨量
2024-01-01,15.3,6.7,0.0
2024-01-02,12.5,2.5,3.1
2024-01-03,9.6,-0.6,0.0
2024-01-04,9.8,1.1,0.0
2024-01-05,12.9,2.6,26.7
2024-01-06,13.6,2.6,3.8
2024-01-07,2.2,-7.1,0.0
2024-01-08,6.1,-1.3,0.2
2024-01-09,11.4,1.7,0.0
2024-01-10,10.3,1.6,0.0
2024-01-11,13.2,1.7,0.0
2024-01-12,14.9,5.5,0.0
2024-01-13,5.5,-5.4,0.0
2024-01-14,9.2,0.1,0.0
2024-01-15,13.6,6.5,0.0
2024-01-16,12.6,3.2,0.0
2024-01-17,8.8,-0.3,0.0
2024-01-18,9.3,1.1,2.4
2024-01-19,12.9,6.8,0.0
2024-01-20,7.8,-2.7,0.0
2024-01-21,10.7,-1.2,0.0
2024-01-22,14.3,2.9,0.0
2024-01-23,5.7,-4.2,0.0
2024-01-24,5.7,-2.9,0.9
2024-01-25,13.2,3.8,0.0
2024-01-26,7.6,-3.6,18.4
2024-01-27,9.2,1.2,0.0
2024-01-28,5.7,-5.0,16.5
2024-01-29,9.3,0.4,0.0
2024-01-30,12.3,3.7,0.0
2024-01-31,12.5,4.7,0.0
2024-02-01,12.8,3.6,0.0
2024-02-02,6.3,-5.3,0.7
2024-02-03,9.4,0.8,0.0
2024-02-04,8.7,2.1,0.0
2024-02-05,10.4,3.7,0.0
2024-02-06,14.3,5.1,0.0
2024-02-07,11.9,5.0,0.0
2024-02-08,10.6,2.4,0.0
2024-02-09,11.7,0.1,3.9
2024-02-10,14.1,5.4,0.0
2024-02-11,11.3,1.6,0.0
2024-02-12,13.2,7.1,0.0
2024-02-13,10.3,-0.6,0.6
2024-02-14,11.7,4.0,0.0
2024-02-15,10.7,-0.9,5.8
2024-02-16,14.2,7.3,0.0
2024-02-17,12.1,1.2,0.0
2024-02-18,8.1,-2.4,0.0
2024-02-19,8.9,-1.7,0.0
2024-02-20,11.1,2.9,0.0
2024-02-21,12.8,5.1,11.9
2024-02-22,18.0,8.5,0.3
2024-02-23,14.3,7.5,0.0
2024-02-24,11.1,0.1,1.5
2024-02-25,15.7,6.0,1.6
2024-02-26,16.6,6.6,0.0
2024-02-27,13.2,2.4,0.0
2024-02-28,16.4,5.1,0.0
2024-02-29,9.9,-0.7,0.0
2024-03-01,18.9,10.8,0.0
2024-03-02,11.5,1.5,0.0
2024-03-03,14.7,7.2,0.8
2024-03-04,9.6,1.2,0.0
2024-03-05,15.6,6.6,0.0
2024-03-06,16.4,7.2,0.0
2024-03-07,7.4,-0.5,0.0
2024-03-08,14.7,6.0,4.4
2024-03-09,13.2,4.9,5.9
2024-03-10,16.5,9.3,0.0
2024-03-11,10.6,4.4,0.0
2024-03-12,21.1,14.0,5.5
2024-03-13,15.1,5.4,0.0
2024-03-14,14.8,5.1,0.0
2024-03-15,13.2,4.4,6.6
2024-03-16,19.1,8.1,0.0
2024-03-17,21.0,14.7,0.0
2024-03-18,12.6,5.7,0.0
2024-03-19,15.1,7.5,0.0
2024-03-20,19.6,7.8,0.0
2024-03-21,18.5,11.9,0.0
2024-03-22,14.8,3.8,0.0
2024-03-23,18.1,6.7,0.0
2024-03-24,20.6,8.9,0.0
2024-03-25,15.1,5.1,1.9
2024-03-26,19.6,11.1,0.0
2024-03-27,21.4,9.6,0.0
2024-03-28,18.6,8.0,0.0
2024-03-29,16.6,7.7,0.0
2024-03-30,20.5,8.8,1.3
2024-03-31,17.6,6.3,1.4
2024-04-01,26.3,18.1,0.0
