学号,时间,时段类型,小时,金额,日期
S1191,2024-03-17,午餐,11.89,15.0,2024-03-17
S1080,2024-03-07,晚餐,17.47,14.3,2024-03-07
S1091,2024-03-08,早餐,7.49,5.7,2024-03-08
S1269,2024-03-25,午餐,11.37,18.1,2024-03-25
S1161,2024-03-20,超市,9.12,18.1,2024-03-20
S1071,2024-03-21,午餐,11.41,13.7,2024-03-21
S1280,2024-03-24,晚餐,18.28,14.8,2024-03-24
S1109,2024-03-15,早餐,7.61,7.8,2024-03-15
S1092,2024-03-20,午餐,12.16,16.6,2024-03-20
S1176,2024-03-30,超市,12.08,32.5,2024-03-30
S1253,2024-03-27,午餐,12.11,20.3,2024-03-27
S1236,2024-03-15,早餐,7.98,4.8,2024-03-15
S1125,2024-03-09,午餐,11.67,10.9,2024-03-09
S1034,2024-03-11,早餐,7.12,7.1,2024-03-11
S1140,2024-03-02,午餐,11.56,20.2,2024-03-02
S1037,2024-03-14,超市,10.72,14.6,2024-03-14
S1231,2024-03-16,晚餐,17.52,13.1,2024-03-16
S1081,2024-03-18,午餐,11.37,11.4,2024-03-18
S1091,2024-03-23,晚餐,18.27,17.6,2024-03-23
S1145,2024-03-27,晚餐,17.25,20.0,2024-03-27
S1067,2024-03-03,晚餐,18.33,18.0,2024-03-03
S1171,2024-03-28,午餐,12.17,17.6,2024-03-28
S1242,2024-03-17,超市,12.41,29.6,2024-03-17
S1192,2024-03-12,晚餐,17.64,10.4,2024-03-12
S1125,2024-03-31,晚餐,18.14,10.7,2024-03-31
S1079,2024-03-01,午餐,11.47,23.2,2024-03-01
S1096,2024-03-26,午餐,11.39,21.8,2024-03-26
S1023,2024-03-01,晚餐,18.43,17.2,2024-03-01
S1089,2024-03-16,早餐,7.32,9.4,2024-03-16
S1138,2024-03-11,早餐,7.51,9.1,2024-03-11
S1027,2024-03-18,早餐,7.77,4.3,2024-03-18
S1245,2024-03-24,午餐,11.82,20.1,2024-03-24
S1142,2024-03-26,晚餐,17.98,13.9,2024-03-26
S1263,2024-03-18,晚餐,18.64,17.3,2024-03-18
S1168,2024-03-19,午餐,12.36,11.5,2024-03-19
S1283,2024-03-06,早餐,7.31,6.3,2024-03-06
S1248,2024-03-24,午餐,12.51,19.0,2024-03-24
S1223,2024-03-09,晚餐,17.31,9.2,2024-03-09
S1133,2024-03-05,晚餐,17.72,17.0,2024-03-05
S1181,2024-03-08,超市,19.6,11.2,2024-03-08
S1178,2024-03-13,晚餐,17.86,19.1,2024-03-13
S1227,2024-03-24,超市,19.48,6.8,2024-03-24
S1187,2024-03-07,超市,10.38,6.2,2024-03-07
