面积,房龄,地铁距离,楼层,房价
143.7,20,4.34,中层,228.1
74.2,23,3.65,高层,156.2
48.8,17,3.98,高层,139.0
131.6,15,2.75,低层,206.2
94.3,21,1.2,中层,177.5
105.1,9,4.48,中层,208.3
127.2,25,0.71,中层,190.7
141.9,9,3.23,高层,231.4
132.2,23,4.74,高层,228.3
128.0,4,3.01,低层,246.1
69.0,27,4.77,高层,144.8
126.4,17,2.42,高层,213.8
47.0,5,0.29,高层,131.7
89.2,27,4.28,高层,175.1
113.3,0,1.53,低层,229.2
70.7,0,1.13,高层,182.3
74.3,18,0.65,低层,157.0
122.1,18,3.37,高层,224.9
140.9,7,3.73,中层,233.8
137.1,6,2.45,中层,240.8
40.0,12,4.65,低层,131.0
150.8,4,0.65,高层,245.9
136.8,7,3.4,中层,239.3
154.7,8,0.8,中层,244.3
98.2,20,1.99,中层,180.0
119.5,21,2.08,高层,204.2
128.1,24,3.65,低层,211.2
95.9,22,0.54,中层,160.3
136.7,15,2.09,中层,238.2
92.6,13,2.55,低层,178.2
55.5,1,3.94,低层,158.6
117.1,8,1.71,高层,203.0
97.4,8,0.47,中层,212.6
119.0,26,1.45,高层,211.1
50.0,23,2.4,高层,144.0
119.6,0,0.61,中层,224.1
98.9,17,3.87,高层,181.8
130.6,0,4.24,中层,238.1
91.3,5,2.77,中层,186.4
79.6,28,1.31,中层,153.1
97.3,23,3.88,中层,184.9
150.3,8,3.01,中层,244.8
76.9,28,4.93,低层,151.3
158.2,1,3.42,低层,249.9
53.6,23,1.05,低层,106.0
156.5,13,3.97,低层,234.1
144.8,7,3.73,低层,238.6
153.7,7,0.42,高层,241.9
68.4,28,1.92,高层,143.1
142.9,23,1.38,低层,197.1
136.4,23,2.23,高层,222.4
59.6,10,0.89,高层,132.5
75.5,27,1.53,中层,150.6
108.1,23,2.15,高层,198.1
145.4,22,0.69,低层,222.0
44.5,23,2.34,低层,129.0
83.2,11,1.37,低层,164.8
118.4,15,2.62,低层,203.7
129.2,28,4.33,低层,190.0
155.4,5,0.69,中层,234.0
54.9,16,2.17,低层,122.6
88.0,0,2.26,低层,204.6
106.4,24,1.85,低层,179.0
97.1,7,1.33,低层,184.8
100.4,13,4.98,高层,209.8
87.0,7,4.13,中层,185.1
157.1,27,1.33,低层,204.2
44.5,2,1.89,高层,144.2
60.9,15,4.98,中层,132.8
86.1,18,4.41,中层,177.2
100.6,18,2.91,中层,176.8
84.5,2,3.04,中层,196.3
133.8,20,0.78,中层,210.2
129.0,2,4.64,低层,221.7
40.6,13,2.31,中层,134.1
116.8,15,1.85,低层,215.0
90.9,0,2.95,中层,194.6
71.6,9,1.21,低层,145.8
72.3,26,4.36,高层,153.1
40.4,18,1.64,高层,122.9
96.8,20,1.52,高层,175.3
104.8,24,3.97,高层,171.6
137.1,9,1.12,中层,247.9
85.0,10,4.92,高层,205.3
147.0,2,3.71,低层,267.7
99.7,18,4.64,低层,198.4
84.1,6,4.53,中层,207.9
157.0,27,2.75,高层,238.1
87.6,3,2.48,低层,176.3
56.9,17,3.26,高层,156.7
144.3,1,4.21,高层,264.7
119.6,22,3.17,低层,185.6
141.3,2,3.83,中层,241.0
44.0,24,3.53,高层,131.8
85.0,15,3.56,高层,187.2
60.1,28,0.82,中层,121.0
120.0,13,4.02,低层,196.1
73.4,1,3.32,高层,183.7
49.8,28,0.96,中层,119.1
118.1,7,3.41,高层,220.7
159.9,5,2.51,高层,259.2
128.0,16,3.33,高层,216.7
130.6,23,1.0,高层,192.3
106.4,24,1.21,高层,172.3
109.5,27,0.91,中层,174.1
130.9,26,1.73,高层,209.0
100.1,5,3.0,中层,226.2
97.2,29,4.43,低层,181.9
150.4,10,2.11,低层,230.7
97.7,21,1.84,高层,181.9
64.8,3,1.37,中层,177.2
85.2,0,2.94,低层,189.3
56.8,8,3.4,低层,149.3
109.3,21,1.64,中层,201.6
43.7,16,2.58,中层,122.1
144.7,4,0.5,高层,247.4
149.7,26,1.43,中层,228.4
118.1,27,0.79,低层,185.0
118.7,25,1.6,中层,198.4
124.5,26,3.1,中层,199.2
96.0,19,1.84,高层,158.5
123.6,3,4.26,中层,228.7
84.4,15,2.49,低层,182.8
98.9,17,0.48,高层,177.6
118.3,25,0.78,中层,189.7
48.2,27,0.81,中层,110.5
104.2,6,0.9,高层,213.7
128.1,23,4.78,中层,213.5
91.2,5,3.28,高层,221.9
118.1,28,4.56,中层,190.8
109.2,26,0.87,中层,170.4
72.2,24,4.27,低层,137.2
146.9,13,4.02,中层,233.1
59.5,24,3.49,低层,129.1
86.0,19,3.01,低层,152.9
44.8,2,3.83,低层,141.4
95.8,6,4.51,中层,196.5
116.0,21,1.99,高层,213.1
142.0,26,4.26,低层,200.3
110.9,22,1.3,中层,186.2
72.1,27,2.37,高层,154.1
79.2,22,0.98,中层,140.6
50.6,28,4.75,低层,106.4
116.7,12,1.43,低层,206.2
109.0,20,3.91,低层,185.7
123.3,21,4.79,低层,195.6
122.0,26,2.87,高层,221.9
